t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10, x1,Y1,x2,y2,x3,y3,Trix1,Triy1,Trix2,Triy2,Trix3,Triy3,varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,delta1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT
0.0000000000,-7.0000000000,-7.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7853981634,-0.7853981634,-0.7853981634,0.7853981634,0.0000000000,3.1415926536,-1.9634954085,1.9634954085,-3.5342917353,3.5342917353,0.3926990817,-0.3926990817,-2.8797932658,2.8797932658,-4.4505895926,4.4505895926,-0.5235987756,0.5235987756,-5.9000000000,-7.0000000000,-8.2619397663,-5.4230176378,-8.2330127019,-8.6356406461,-5.4000000000,-7.0000000000,-7.8000000000,-5.6143593539,-7.8000000000,-8.3856406461,0.0000000000,0.3926990817,-0.5235987756,0.0000000000,0.0000000000,-0.0476190476,0.0000000000,-0.0476190476,-0.7853981634,-0.0476190476,0.7853981634,-0.0476190476,3.1415926536,-0.0476190476,1.9634954085,-0.0476190476,3.5342917353,-0.0476190476,-0.3926990817,-0.0476190476,1.0000000000,-0.0113378685,-1.2500000000,1.2500000000,-0.0113378685,8.0000000000,-16.0000000000,8.0000000000,-0.0113378685,-4.0000000000,8.0000000000,-8.0000000000,4.0000000000,-0.0113378685,0.0000000000,-0.0000000000,-1.0000000000,-0.0113378685,-29.5641450404,14.7820725202,0.0000000000,14.7820725202,-0.0113378685,6.1229349178,-3.0614674589,3.0614674589,-0.0113378685,0.0000000000,0.0000000000,-1.0823922003,0.2000000000,0.0095238095,0.7732426304,1.6547902494,2.2475623583,0.3405328798,-0.6251853968,0.1267377402,-1.6351277629,-0.4285636722,0.0715729757,-1.5799629984,0.0000000000,0.0000000000,0.0000000000,-7.0000000000,-7.0000000000,0.0000000000,0.0000000000,         0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.78539816339744827900,-0.00952380952380952467,0.78539816339744827900,-0.00952380952380949865,3.14159265358979311600,1.96349540849362025341,-0.00952380952380952467,3.53429173528851725550,-0.00952380952380951253,-0.39269908169872413950,2.87979326579064354164,-0.00952380952380952467,4.45058959258554054372,-0.00952380952380959059,0.52359877559829881566,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.78539816339744827900,0.78539816339744827900,3.14159265358979311600,1.96349540849362069750,3.53429173528851725550,-0.39269908169872413950,2.87979326579064354164,4.45058959258554054372,0.52359877559829881566,0.00000000000000000000,
0.1000000000,-6.9800000029,-6.9999905885,0.0009568045,0.0401090747,0.0005859648,0.8864884629,-0.7830425686,-0.5939639569,0.7887517004,0.1440121368,3.1423885307,-2.0116657969,1.9624064293,-3.6226540541,3.5331695952,0.2455043130,-0.3918433911,-2.9298430639,2.8786671657,-4.5214677232,4.4494479298,-0.6355036008,0.5244671984,-5.8822258394,-6.9987025148,-8.2450732869,-5.4245206921,-8.2137118452,-8.6370933305,-5.3820001944,-6.9992078815,-7.7826793100,-5.6147441643,-7.7813205019,-8.3860251233,0.1901149762,0.3039991654,-0.5955442830,-0.0000006619,-0.0000001150,-0.0000018627,-0.0003707928,0.1534978882,-0.7843069980,0.2042634415,0.7873869099,0.0078392000,3.1414261696,-0.1416566494,1.9617327417,-0.1416316021,3.5324961542,0.0059962057,-0.3928122647,-0.0478242859,1.0000000055,0.0483686324,-1.2500178247,1.2518650810,0.9362663947,8.8688994330,-17.7644130179,9.1820028849,-0.1094147773,-2.6671800915,5.3421317754,-6.2390333258,3.4389344654,0.2199833259,0.0943606217,-0.1890441546,-1.1072234954,-0.4483120175,-27.6716961997,14.4111007218,0.0000000000,12.2265737041,0.1214775267,7.5577267229,-3.8287808460,2.9310390067,-0.1651528353,-0.4896615925,0.2052144596,-0.9330212132,0.2000000011,0.0096355919,0.1500198394,0.3293902414,0.3474460797,0.3774532509,-0.1456869688,-0.1344800608,-0.1699583407,-0.0882120033,-0.0650173774,-0.0722969046,0.2010474123,0.1838619188,0.2184409946,-6.9819555271,-6.9999922364,-0.0000001150,0.0000000000,        43,0.00000000000000000000,-0.00000000000000000347,0.00000000000000000000,-0.00000000000000000347,-0.00000000000000000694,-0.00000000000000004510,-0.00000000000000004163,0.00000000000000000000,0.00000000000000009194,0.00000000000000009714,0.00000000000000000000,-0.78340476185598850734,0.02500273632646979327,0.78812735310505566133,0.03298269251618381193,3.14159265358979311600,1.96170265307863589399,-0.02822722256265500912,3.53200126081810594769,-0.02301901857623973521,-0.39269908169872413950,2.87797942610717383261,-0.02803763291709355371,4.44831306707651030763,-0.02314152602283268620,0.52359877559829881566,-0.00144994325941244398,0.00108746485383399202,0.00108746485383399202,-0.00000066189387088302,-0.00037079281963199953,-0.78430699801196646082,0.78738690986786274983,3.14142616957815778989,1.96173274166572553234,3.53249615415683004827,-0.39281226473121183540,2.87799225379539302949,4.44877280797232188547,0.52349954152719258005,0.00086111046063984669,
0.2000000000,-6.9600000239,-6.9999620022,0.0019201132,0.0443908767,0.0016567075,0.8930440571,-0.7786813400,-0.5952388056,0.7934933051,0.1479782886,3.1433980898,-2.0129352480,1.9606709683,-3.6179586919,3.5314363765,0.2510932371,-0.3908088002,-2.9285200546,2.8769575282,-4.5168829324,4.4477314139,-0.6312654941,0.5254915934,-5.8623559785,-6.9957189359,-8.2272724171,-5.4271165609,-8.1912962139,-8.6395562590,-5.3620019333,-6.9974916713,-7.7641416605,-5.6155637676,-7.7598564677,-8.3868417466,0.1971413870,0.3036502161,-0.5950824865,-0.0000025487,-0.0000002129,0.0071560653,-0.0002786923,0.1729450840,-0.7809482264,0.1754435701,0.7912211993,0.0062209706,3.1414732544,-0.1279212753,1.9590057767,-0.1283380833,3.5297719340,0.0021331092,-0.3927339966,-0.0480545175,1.0000000102,0.0575224980,-1.2500154472,1.2524691193,0.9951692040,8.9685516359,-17.9726569063,9.3333952201,-0.3012257991,-2.7001374760,5.4108170084,-6.2933294944,3.4767789041,0.1890020467,0.0931082435,-0.1866146226,-1.1099080750,-0.1364263304,-27.6175443606,14.4551247113,0.0000000000,12.0445734833,0.0318307686,7.4503765643,-3.8076417892,2.9031076822,-0.1416293590,-0.4588472875,0.1936644200,-0.9268611352,0.2000000020,0.0097683298,-0.0024504392,-0.0399472488,-0.1039594059,-0.0655760108,0.0381150320,0.0897022587,0.0800930094,0.0455403078,0.0698623315,0.0482904142,0.2037067760,0.1823417141,0.2198438202,-6.9618495182,-6.9999652409,-0.0000002129,0.0000000000,        91,0.00000000000000000000,0.00000000000000001041,0.00000000000000002082,-0.00000000000000001041,-0.00000000000000003469,-0.00000000000000007633,-0.00000000000000006939,-0.00000000000000002255,-0.00000000000000001908,-0.00000000000000003469,0.00000000000000000000,-0.77953960268119271149,0.02132445908259247846,0.79138160346880370710,0.03260320674614387848,3.14159265358979311600,1.95899563197238357759,-0.02543511401557448787,3.52965493303524358026,-0.02384865806985935616,-0.39269908169872413950,2.87528980873851924827,-0.02536411502130657414,4.44595591003502033089,-0.02389980671573713189,0.52359877559829881566,-0.00306082654236156061,0.00229568961724094939,0.00229568961724094939,-0.00000254873124028491,-0.00027869228526070837,-0.78094822638021399452,0.79122119931758982947,3.14147325436186308778,1.95900577670567255240,3.52977193400260791378,-0.39273399659872915146,2.87529037235723228250,4.44606604958628626179,0.52356698040104776570,0.00182497865856419417,
0.3000000000,-6.9400000817,-6.9999141433,0.0028829239,0.0425105364,0.0027431909,0.8856544972,-0.7743335028,-0.6064377561,0.7977952710,0.1411707719,3.1443828935,-2.0078730141,1.9591632044,-3.6106574362,3.5299068970,0.2577595595,-0.3898262585,-2.9237466365,2.8754594983,-4.5111696267,4.4462056883,-0.6273615054,0.5264716929,-5.8423689761,-6.9927449276,-8.2094473720,-5.4295654240,-8.1689063463,-8.6418867480,-5.3420056350,-6.9957012648,-7.7456506509,-5.6163932362,-7.7383439354,-8.3876648959,0.1893875045,0.3087759124,-0.5916270805,0.0000169766,-0.0000002638,0.0050211335,-0.0001348746,0.1663706633,-0.7775340764,0.1625840508,0.7946019399,0.0047958587,3.1415136467,-0.1211992251,1.9565376491,-0.1228080895,3.5272844723,0.0005887985,-0.3926951810,-0.0482811112,1.0000000130,0.0550563637,-1.2500072196,1.2522891219,0.9630524161,8.8959544607,-17.8245487733,9.2423917407,-0.3245458948,-2.7655863139,5.5412447305,-6.3827570832,3.5022529642,0.1743466930,0.0887271419,-0.1777935947,-1.1054184850,-0.0887620213,-27.8570696904,14.5529802455,0.0000000000,12.2196056099,0.0135409222,7.3571296794,-3.7589756064,2.9034083980,-0.1343987362,-0.4485161536,0.1892187962,-0.9323870695,0.2000000026,0.0094485716,-0.0257016143,-0.0873925959,-0.1144313727,-0.0564295014,0.0537869721,0.0546304566,0.0638879809,0.0451852632,0.0437776441,0.0376028284,0.2036485747,0.1830768785,0.2189921740,-6.9421998224,-6.9999200888,-0.0000002638,0.0000000000,       138,0.00000000000000000173,-0.00000000000000000694,-0.00000000000000001388,0.00000000000000003469,-0.00000000000000002255,-0.00000000000000002082,-0.00000000000000002082,-0.00000000000000000694,0.00000000000000008847,0.00000000000000009021,0.00000000000000000000,-0.77610740243467368771,0.01921131496903956404,0.79461795499249587849,0.03226100790781274985,3.14159265358979311600,1.95653696180908776014,-0.02421913093271105960,3.52726366711678585020,-0.02421354472681610734,-0.39269908169872413950,2.87283563967511623716,-0.02422043796546247130,4.44356168485367764021,-0.02421906232524763392,0.52359877559829881566,-0.00467135673764368809,0.00350376541663849524,0.00350376541663849524,0.00001697664884220147,-0.00013487461567529037,-0.77753407636306182127,0.79460193989877714316,3.14151364667319565882,1.95653764905094695870,3.52728447226205332754,-0.39269518099234140829,2.87283351708402134861,4.44358315941746884192,0.52360283674455010416,0.00277146149881761549,
0.4000000000,-6.9200001951,-6.9998469560,0.0038527098,0.0408109404,0.0037830928,0.8790391042,-0.7700855409,-0.6139209876,0.8019727532,0.1369029569,3.1453565131,-2.0033719600,1.9577238447,-3.6055402208,3.5284278742,0.2606115932,-0.3888545672,-2.9196938678,2.8740218801,-4.5069065773,4.4447269329,-0.6257312923,0.5274431159,-5.8223817866,-6.9898749656,-8.1915349342,-5.4319168031,-8.1465977620,-8.6441213689,-5.3220110192,-6.9939653288,-7.7270949768,-5.6171679013,-7.7168945461,-8.3884304206,0.1847540912,0.3116305693,-0.5896914484,0.0000166144,-0.0000003095,0.0026470146,-0.0000600719,0.1630963192,-0.7742494625,0.1596019319,0.7978155825,0.0043835531,3.1415181698,-0.1195945917,1.9541252171,-0.1219156898,3.5248338236,0.0003089997,-0.3926928507,-0.0485137153,1.0000000153,0.0522967687,-1.2500030959,1.2521018054,0.9651979618,8.8258262748,-17.6813579671,9.1582501097,-0.3306436240,-2.7991114813,5.6076109156,-6.4320927992,3.5169517586,0.1708886497,0.0864833003,-0.1732637971,-1.1035023480,-0.1072925762,-28.0882079847,14.6476755310,0.0000000000,12.3841183359,0.0155109947,7.3203937780,-3.7348165178,2.9055698591,-0.1339956146,-0.4503949352,0.1899368474,-0.9362719488,0.2000000030,0.0095251806,-0.0171369364,-0.0666981590,-0.0785012555,-0.0266382709,0.0423119349,0.0355884191,0.0367457242,0.0356138031,0.0312969724,0.0220990698,0.2033872572,0.1837040733,0.2183123166,-6.9221702460,-6.9998548770,-0.0000003095,0.0000000000,       186,0.00000000000000000000,-0.00000000000000000694,0.00000000000000000000,0.00000000000000006245,0.00000000000000000347,0.00000000000000000173,0.00000000000000000694,0.00000000000000001041,0.00000000000000001041,0.00000000000000003469,0.00000000000000000000,-0.77282269951724336110,0.01859270460259654367,0.79780680424154759578,0.03208449547310027183,3.14159265358979311600,1.95412623422142850416,-0.02392685051853579020,3.52483061887178594773,-0.02432452484449101546,-0.39269908169872413950,2.87042529724766692922,-0.02393788069950257558,4.44112828416865390579,-0.02432302904684028461,0.52359877559829881566,-0.00628134805937994884,0.00471161386171924535,0.00471161386171924535,0.00001661441988708634,-0.00006007190308260444,-0.77424946245554937541,0.79781558246509198806,3.14151816980692411008,1.95412521708572373136,3.52483382362516417530,-0.39269285068554615759,2.87042318860509571010,4.44113291323556236279,0.52360481461132202252,0.00374084358882097656,
0.5000000000,-6.9000003832,-6.9997603258,0.0048265947,0.0399279071,0.0047913618,0.8742314278,-0.7658622419,-0.6189066169,0.8061223683,0.1349531449,3.1463307731,-1.9998968295,1.9563068156,-3.6018685605,3.5269583679,0.2617848017,-0.3878803169,-2.9164583832,2.8726050482,-4.5035962881,4.4432572074,-0.6250447237,0.5284174212,-5.8024034186,-6.9870550093,-8.1735696853,-5.4342181474,-8.1243354431,-8.6463019587,-5.3020179673,-6.9922637597,-7.7084920371,-5.6178975234,-7.6954910770,-8.3891483195,0.1827697244,0.3129637205,-0.5887551324,0.0000180494,-0.0000003270,0.0012661631,-0.0000216903,0.1626323491,-0.7709979167,0.1585712360,0.8009946310,0.0042732335,3.1415200516,-0.1190916990,1.9517345224,-0.1220083910,3.5223918572,0.0002239354,-0.3926910902,-0.0487475269,1.0000000163,0.0507798071,-1.2500011059,1.2520050914,0.9771892839,8.7750063833,-17.5781731584,9.1011645961,-0.3407224470,-2.8182861888,5.6456047486,-6.4631483631,3.5278301388,0.1696943961,0.0852559688,-0.1707877520,-1.1029885214,-0.1205740037,-28.2813032934,14.7344403066,0.0000000000,12.5027227109,0.0167369927,7.3043122354,-3.7233586387,2.9052822211,-0.1344832665,-0.4543461536,0.1916915273,-0.9381837880,0.2000000032,0.0095520333,-0.0101389458,-0.0521131961,-0.0609108292,-0.0094680888,0.0338488705,0.0250666415,0.0254600271,0.0290981482,0.0242956570,0.0158750132,0.2032727318,0.1840320251,0.2179692196,-6.9021792329,-6.9997703836,-0.0000003270,0.0000000000,       234,0.00000000000000000173,-0.00000000000000000694,-0.00000000000000002082,0.00000000000000001388,-0.00000000000000003643,-0.00000000000000003469,-0.00000000000000003123,-0.00000000000000003643,0.00000000000000005725,0.00000000000000004857,0.00000000000000000000,-0.76955220977917182523,0.01834528232199460207,0.80098095743797426138,0.03195472229315336754,3.14159265358979311600,1.95173567688319038460,-0.02382955938297350029,3.52239189378675554565,-0.02439554565032769559,-0.39269908169872413950,2.86803452673859249344,-0.02383936296313707293,4.43868960600745587897,-0.02439404850257578458,0.52359877559829881566,-0.00789061478385427902,0.00591915657692851805,0.00591915657692851805,0.00001804944524236383,-0.00002169032105999585,-0.77099791670358042150,0.80099463100778345304,3.14152005156188263157,1.95173452240375611133,3.52239185716217928501,-0.39269109020013392986,2.86803274947629560643,4.43869073427823046529,0.52360662202056629244,0.00471302491602879590,
0.6000000000,-6.8800006653,-6.9996541884,0.0058073114,0.0396519689,0.0057846753,0.8706594816,-0.7616330203,-0.6223769273,0.8102596307,0.1341333675,3.1473078037,-1.9970992573,1.9549015401,-3.5987936416,3.5254888387,0.2618700754,-0.3869027701,-2.9136906577,2.8711997408,-4.5006610487,4.4417875355,-0.6249848364,0.5293949918,-5.7824300657,-6.9842460488,-8.1555784815,-5.4364892505,-8.1020926295,-8.6484472787,-5.2820264931,-6.9905687661,-7.6898658659,-5.6185958967,-7.6741095378,-8.3898323965,0.1820457036,0.3135278042,-0.5883283535,-0.0000009366,-0.0000003458,0.0005472498,-0.0000227508,0.1629129970,-0.7677651254,0.1578005347,0.8041376742,0.0041942881,3.1415011769,-0.1188143994,1.9493328673,-0.1223100917,3.5199271178,0.0001254997,-0.3927094997,-0.0489874612,1.0000000169,0.0500957435,-1.2500011484,1.2519651326,0.9854495546,8.7354491388,-17.4983737390,9.0587892610,-0.3504609385,-2.8322885297,5.6734728539,-6.4870309007,3.5369013623,0.1688102877,0.0843611013,-0.1689898725,-1.1029088577,-0.1239102871,-28.4505975269,14.8164522344,0.0000000000,12.5923110580,0.0155486850,7.2962576714,-3.7177856730,2.9032410379,-0.1348892534,-0.4583607296,0.1935784978,-0.9389815644,0.2000000034,0.0099891405,0.0023145165,-0.0250178129,-0.0193480150,-0.0041234360,0.0233792640,0.0315171738,-0.0122366530,0.0256600829,0.0304853382,-0.0073848362,0.2032305386,0.1841765499,0.2178289641,-6.8818114783,-6.9996642608,-0.0000003458,0.0000000000,       283,0.00000000000000000000,-0.00000000000000001041,-0.00000000000000000694,0.00000000000000004163,-0.00000000000000001301,-0.00000000000000001388,-0.00000000000000000694,0.00000000000000000173,0.00000000000000000000,-0.00000000000000001388,0.00000000000000000000,-0.76629711871289840630,0.01818187246951128225,0.80412188327471723071,0.03182622366594474450,3.14159265358979311600,1.94933395564239297926,-0.02377363215350525999,3.51992808306974369614,-0.02446822020378955007,-0.39269908169872413950,2.86563263076462648726,-0.02378159901892155925,4.43622585329294327749,-0.02446734637407077181,0.52359877559829881566,-0.00949897127093796666,0.00712631520654999264,0.00712631520654999264,-0.00000093661155041707,-0.00002275080223014883,-0.76776512539818564385,0.80413767415596648647,3.14150117693536357066,1.94933286732870403313,3.51992711782804956755,-0.39270949973035562675,2.86563107656663573763,4.43622581912393076919,0.52358827049284417665,0.00570835662252015645,
0.7000000000,-6.8600010611,-6.9995284311,0.0067882572,0.0395729624,0.0067740879,0.8674122775,-0.7573894375,-0.6256550706,0.8143892932,0.1339339568,3.1482898368,-1.9945835407,1.9535090128,-3.5962289900,3.5240204478,0.2619489189,-0.3859201075,-2.9111860770,2.8698071793,-4.4980864193,4.4403190412,-0.6248985992,0.5303776997,-5.7624606924,-6.9814285483,-8.1375782801,-5.4387413856,-8.0798521012,-8.6505682880,-5.2620366625,-6.9888616328,-7.6712325676,-5.6192722452,-7.6527338175,-8.3904917955,0.1819171778,0.3136653025,-0.5881877807,0.0000023281,-0.0000003451,0.0002146634,-0.0000110110,0.1632570600,-0.7645005705,0.1569980487,0.8072906035,0.0040642791,3.1415051839,-0.1186281264,1.9469616281,-0.1227013056,3.5174811722,-0.0000391377,-0.3927048251,-0.0492237311,1.0000000170,0.0498910744,-1.2500005657,1.2519566640,0.9882810469,8.7018634207,-17.4309738277,9.0238059322,-0.3583965048,-2.8443276682,5.6975553204,-6.5078811213,3.5449947152,0.1679166883,0.0835196822,-0.1673020088,-1.1029492136,-0.1211001532,-28.6065346549,14.8959115906,0.0000000000,12.6653157709,0.0128694882,7.2925044279,-3.7154460032,2.9001942804,-0.1351476930,-0.4618008600,0.1952856304,-0.9391840346,0.2000000034,0.0099707126,0.0029533082,-0.0242331379,-0.0194175246,-0.0018455863,0.0222757319,0.0291704759,-0.0118193638,0.0245162236,0.0288133623,-0.0069889693,0.2032156790,0.1842170993,0.2178039227,-6.8618982816,-6.9995408592,-0.0000003451,0.0000000000,       331,0.00000000000000000000,-0.00000000000000000347,-0.00000000000000000694,0.00000000000000007286,0.00000000000000001735,0.00000000000000001561,0.00000000000000001041,0.00000000000000002429,0.00000000000000002255,0.00000000000000000347,0.00000000000000000000,-0.76301152046506670601,0.01803748600246055794,0.80727280884327967669,0.03168533389751533591,3.14159265358979311600,1.94696264963092513511,-0.02373566151160707086,3.51748263370675884332,-0.02455310660266652248,-0.39269908169872413950,2.86326121549006673561,-0.02374247904681409810,4.43378044998891684969,-0.02455262754581224310,0.52359877559829881566,-0.01110623198550451420,0.00833301141979012235,0.00833301141979012235,0.00000232805745447456,-0.00001101100064538132,-0.76450057053219533376,0.80729060352093495734,3.14150518393356215086,1.94696162809744666156,3.51748117217249811617,-0.39270482505441378640,2.86325980010224556693,4.43377976344884849880,0.52359299122774449753,0.00668622203604731739,
0.8000000000,-6.8400015906,-6.9993829663,0.0077746510,0.0396443655,0.0077644856,0.8644361129,-0.7531318256,-0.6286373818,0.8185110840,0.1340031452,3.1492771916,-1.9922441327,1.9521288768,-3.5938245989,3.5225528580,0.2618265528,-0.3849320981,-2.9088094122,2.8684270206,-4.4956154405,4.4388513933,-0.6249245164,0.5313657378,-5.7424953251,-6.9785940175,-8.1195762958,-5.4409786779,-8.0576066158,-8.6526690038,-5.2420485372,-6.9871339225,-7.6525993772,-5.6199307014,-7.6313566788,-8.3911305765,0.1821584688,0.3136549884,-0.5881395530,0.0000089141,-0.0000003367,0.0000947737,-0.0000015402,0.1636422188,-0.7612248857,0.1562908415,0.8104326310,0.0040408705,3.1415115522,-0.1183213057,1.9445997130,-0.1229724696,3.5150329593,-0.0000944920,-0.3926977749,-0.0494612263,1.0000000167,0.0499532156,-1.2500000973,1.2519656947,0.9881841105,8.6716471676,-17.3705679990,8.9929893058,-0.3649087252,-2.8549105724,5.7187994264,-6.5265468158,3.5523674009,0.1670233672,0.0829282084,-0.1661173976,-1.1030437513,-0.1125652197,-28.7559486216,14.9743063534,0.0000000000,12.7299095209,0.0087503141,7.2890167502,-3.7139570451,2.8965516469,-0.1352769633,-0.4663161585,0.1974824184,-0.9390219153,0.2000000033,0.0098823211,0.0009879409,-0.0290817977,-0.0282118257,-0.0003627113,0.0232837802,0.0251146815,-0.0032761867,0.0239556499,0.0255548314,-0.0015648058,0.2032118043,0.1842052092,0.2178340476,-6.8420235358,-6.9993982321,-0.0000003367,0.0000000000,       379,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000006939,-0.00000000000000002082,-0.00000000000000002255,-0.00000000000000002776,-0.00000000000000001214,-0.00000000000000001041,-0.00000000000000001041,0.00000000000000000000,-0.75971625913683293874,0.01791904998615340833,0.81041280839857199325,0.03156241892269499860,3.14159265358979311600,1.94460069293381954125,-0.02367390128543291755,3.51503503107637582659,-0.02461510015119387426,-0.39269908169872413950,2.86089920407840780925,-0.02368025513811473567,4.43133286683692517727,-0.02461465917792256264,0.52359877559829881566,-0.01271221151883242077,0.00953916691586089403,0.00953916691586089403,0.00000891407898160387,-0.00000154016586037965,-0.76122488565533696914,0.81043263096459772221,3.14151155222208711137,1.94459971296411793240,3.51503295929478110082,-0.39269777488744095351,2.86089785766443815973,4.43133149672311699163,0.52360006087310806411,0.00766691373992690883,
0.9000000000,-6.8200022739,-6.9992177058,0.0087671784,0.0398035702,0.0087580281,0.8616277440,-0.7488618237,-0.6313755918,0.8226238100,0.1341368426,3.1502691944,-1.9899945264,1.9507603308,-3.5914167614,3.5210852840,0.2614920246,-0.3839395176,-2.9064792561,2.8670584615,-4.4931309904,4.4373837983,-0.6250783025,0.5323583211,-5.7225340911,-6.9757384592,-8.1015755243,-5.4432024019,-8.0353532445,-8.6547506593,-5.2220621722,-6.9853818348,-7.6339695136,-5.6205730656,-7.6099749083,-8.3917504794,0.1827381105,0.3136987728,-0.5880378212,0.0000196168,-0.0000003289,0.0001063571,0.0000079748,0.1642336310,-0.7579400495,0.1558877873,0.8135621340,0.0043705824,3.1415192109,-0.1176596596,1.9422458418,-0.1228893387,3.5125812174,0.0002070007,-0.3926895699,-0.0496999529,1.0000000167,0.0501806328,-1.2499996236,1.2519857152,0.9878947087,8.6437507476,-17.3149602330,8.9652228187,-0.3707037958,-2.8636354261,5.7363722240,-6.5426775837,3.5590075262,0.1661640041,0.0829423233,-0.1661472999,-1.1031956192,-0.0967973255,-28.9026426566,15.0524999527,0.0000000000,12.7906682764,0.0027696503,7.2821851270,-3.7114257693,2.8924878362,-0.1352952033,-0.4742410170,0.2011461946,-0.9385575264,0.2000000033,0.0097120944,-0.0032033637,-0.0394712032,-0.0478125609,0.0051030488,0.0254113391,0.0155253129,0.0173832256,0.0225633630,0.0178333910,0.0114750052,0.2032149260,0.1841700805,0.2178833097,-6.8221872037,-6.9992363981,-0.0000003289,0.0000000000,       427,-0.00000000000000000173,-0.00000000000000000694,-0.00000000000000001388,-0.00000000000000002776,-0.00000000000000001735,-0.00000000000000005378,-0.00000000000000005551,-0.00000000000000001561,-0.00000000000000010929,-0.00000000000000011796,0.00000000000000000000,-0.75641303606686305372,0.01785132382642696386,0.81354041121610398690,0.03150430542626758007,3.14159265358979311600,1.94224681291715772780,-0.02354141182461732054,3.51258424987837436504,-0.02460468042713666662,-0.39269908169872413950,2.85854531528352362457,-0.02354741369196925935,4.42888206658584149267,-0.02460439648319004413,0.52359877559829881566,-0.01431672460999337294,0.01074470342906065114,0.01074470342906065114,0.00001961675769167337,0.00000797482349210003,-0.75794004954213545222,0.81356213395996002102,3.14151921087178020997,1.94224584176696768445,3.51258121743310436358,-0.39268956992014181218,2.85854396992313564141,4.42887974993342403707,0.52360824678732542647,0.00865044072927289957,
